Month,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,Mountain,West South Central,Pacific Noncontiguous,Pacific Contiguous
22-Apr,7691.13638,30114.47645,42606.78276,27632.60113,58334.94402,24612.67769,27549.2045,56378.97743,1262.00635,27811.24352
22-Feb,8813.01648,35095.93384,47134.84015,31836.68832,59564.29766,26440.16437,28673.38561,55534.27698,1360.72579,30077.52173
22-Jan,8018.13818,34737.37812,49190.55261,31650.94109,58106.79511,27908.50661,27466.26259,57584.61963,1238.75595,28409.10532
21-Dec,9438.93868,38958.44248,56992.95147,35959.56848,71309.76707,34257.01858,30822.56993,63575.24213,1381.44249,31069.97773
21-Nov,8404.1058,36290.38744,48047.47242,32339.2976,63201.99539,28888.36677,30439.16186,56296.23092,1426.63465,31769.90808
21-Oct,8307.58446,33226.64766,45683.46492,30014.65871,58751.14369,27835.67676,27743.14466,53183.03772,1369.3675,28194.79453
21-Sep,7413.30654,32327.4852,45255.461,28599.80012,62643.82016,26168.84364,28573.23347,59593.21119,1329.49258,28297.12415
21-Aug,8841.85832,35439.13325,47276.37934,30499.11713,67273.18962,29256.20067,33065.77209,64353.1276,1288.64312,30450.35375
21-Jul,10479.94735,42504.35913,57269.73819,34670.14754,82168.22951,35893.01415,36766.66775,75832.3094,1394.81324,35885.54128
21-Jun,9786.43843,41447.51769,55247.23445,33228.46307,80875.61858,35431.21375,37385.37482,73117.60205,1365.81889,37738.80889
21-May,7720.06172,31898.01085,43240.94833,25978.8275,65300.44706,28669.22514,28989.60174,57602.58626,1266.56433,29514.6885
21-Mar,7327.89508,29509.48084,40300.09988,25227.90773,58806.12457,24711.39729,27018.87159,51832.22892,1190.33033,27383.60821
21-Feb,8251.53613,33804.57831,45291.8884,27662.27176,59930.90323,26477.01222,28972.14461,51345.47118,1286.43224,28375.03777
21-Jan,8257.72299,34913.41797,50350.36878,28741.28751,62837.30303,30469.16534,26609.60538,52783.63151,1194.45963,27742.56681
20-Dec,8927.56923,37872.91946,52567.18185,30547.46765,66604.93761,32907.28913,30396.40221,58431.71152,1355.00395,29599.22632
20-Nov,8440.63891,36397.73747,52190.43486,30498.29229,66530.37022,31168.74287,30853.36794,57487.42965,1394.26192,29562.13666
20-Oct,7329.13612,31243.84705,46161.36637,27042.53596,58379.84844,23935.32168,27330.49809,50567.73194,1347.29786,28065.3802
20-Sep,7084.53354,32938.79066,42717.84721,25924.27578,61935.19329,25986.61347,29628.37985,56051.90648,1253.43854,30182.46
20-Aug,8021.18866,35854.04973,43189.72877,26299.62357,66217.0679,30070.60674,31837.25182,59282.76566,1198.02896,31522.72488
20-Jul,9467.88766,42174.07104,51853.05665,31236.38795,79965.24461,35212.3356,36567.68141,73315.47189,1286.07905,37457.37658
20-Jun,10834.61885,44590.78044,53681.59634,31994.78891,82963.88907,37430.37381,35021.31025,75416.98567,1317.33219,36619.58443
20-May,8268.54743,36256.72108,46310.57213,28948.91567,70287.56307,32394.40893,30008.5819,65895.95715,1262.16861,32333.75384
20-Mar,6451.65115,27835.4522,38038.05227,24109.10042,57505.35444,21892.9269,25141.60715,50862.53653,1138.54727,26870.98545
20-Feb,7594.49991,32939.00714,43837.10975,26242.10899,61512.32868,25538.3358,26741.33575,54419.74127,1265.38006,29779.84877
20-Jan,7953.93762,33437.78604,46158.81017,29260.40191,61804.33369,28512.62016,27310.06455,54459.41796,1253.07452,29547.65965
19-Dec,8684.77828,37458.89694,50858.31746,30716.76516,65063.1912,30398.5602,30095.15175,57081.58109,1409.55966,30252.30779
19-Nov,8674.52708,37827.12804,50006.78983,30160.44773,63773.73823,28738.6032,31156.65365,57401.75037,1362.64396,29433.87633
19-Oct,7710.21164,34138.94246,46729.37391,28944.20514,59787.70868,26953.0385,28556.24957,53742.57222,1335.66848,27999.38145
19-Sep,7816.42137,33766.40001,43851.94763,25753.56943,63914.94601,27253.8495,29776.59925,58209.87891,1354.23531,28819.79741
19-Aug,7404.26999,36333.46831,47304.3372,28557.73456,72216.85778,33309.94616,33501.67566,69565.87695,1307.71815,31257.68449
19-Jul,9285.96351,41497.49007,51882.093,29919.47698,79865.41033,35969.26896,38045.10825,76656.35454,1395.07666,37215.41228
19-Jun,10592.44225,44187.10332,55750.6193,32058.59938,82769.2132,36159.93649,37035.63839,74123.02531,1362.6033,36325.71045
19-Apr,7300.05545,31983.20477,46204.30568,25871.17864,70152.92032,30422.99437,26329.45193,60429.46056,1336.70344,30630.54753
19-Mar,7540.96461,29706.9259,44150.84602,24466.96141,58118.01114,24560.65767,25790.1498,51692.18788,1260.99919,29664.90782
19-Feb,8682.63176,34095.13542,50226.26552,29611.07591,59865.35058,29409.44762,29246.19097,54091.0658,1260.62345,30415.46556
19-Jan,7999.92843,34035.91054,48585.00425,28521.39709,57875.41099,26787.24856,30339.74929,52646.43127,1191.082,27299.56982
18-Dec,9096.79409,38611.47139,55825.8808,32235.93288,69576.80194,31929.63734,32090.13831,59853.30197,1355.81965,29153.05674
18-Nov,8890.84716,36505.94821,51267.17308,31581.88117,65820.47626,28815.14963,32943.78678,56924.0997,1341.87954,28200.9911
18-Oct,7927.59908,33040.09097,49577.55814,29039.73789,62287.63861,27426.9373,30174.11486,54157.96005,1348.45525,27485.94168
18-Sep,7846.36622,32730.63823,47595.11863,27499.7234,65523.81935,27239.4501,30275.99781,56643.93635,1312.27178,28402.82827
18-Aug,8930.43451,35492.97175,49889.15137,28259.68771,72947.70119,32130.17397,33919.86366,62882.64788,1356.72525,30748.6024
18-Jul,11195.41827,41980.67652,57200.26208,31188.29727,80871.99492,35986.4514,37836.24817,74367.97988,1384.92835,36339.89286
18-Jun,10733.89324,41933.64862,56610.85271,32893.64205,79112.77968,36545.34661,37652.35853,75585.01463,1366.63739,39182.51219
18-Apr,7759.78004,32493.25033,47295.81317,27800.27782,66910.3364,30827.67489,27600.57549,64781.73981,1349.28841,32409.52523
18-Mar,7631.34599,30178.08213,43666.02439,26440.46647,57071.37559,26394.6497,25834.98114,52460.9447,1260.67339,30118.40193
18-Feb,7914.87947,31445.56277,47808.27009,28031.29332,57508.71783,26330.41842,25980.06023,51790.56557,1268.0628,28979.82697
18-Jan,9687.29266,37090.5743,58663.26082,32772.52249,75786.60565,36191.84556,29037.12569,62313.12798,1389.88805,30447.10949
17-Dec,9272.77567,37521.71495,54492.20927,30835.12722,66203.08113,31014.29644,30478.27193,58971.81845,1369.68878,30404.37545
